key,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2018abca_f1m1,359,2122,4733,2130,3250,5630,379,271
2018abca_f1m2,359,2122,4733,2130,3250,5630,418,258
2018abca_qf1m1,359,2122,4733,6364,5078,5725,427,267
2018abca_qf1m2,359,2122,4733,6364,5078,5725,470,201
2018abca_qf2m1,4334,6679,6351,4775,6188,5118,408,192
2018abca_qf2m2,4334,6679,6351,4775,6188,5118,384,165
2018abca_qf3m1,2130,3250,5630,4627,5787,1482,513,269
2018abca_qf3m2,2130,3250,5630,4627,5787,1482,453,142
2018abca_qf4m1,3216,1622,6106,5015,3011,6841,427,105
2018abca_qf4m2,3216,1622,6106,5015,3011,6841,384,122
2018abca_qm1,6435,7277,6188,6041,4733,5078,182,369
2018abca_qm10,3216,7246,4604,6679,3250,3011,130,316
2018abca_qm11,2130,7277,1622,6435,6841,5015,390,82
2018abca_qm12,5118,3216,5725,6364,6178,1482,244,192
2018abca_qm13,6435,6106,4010,6701,5015,359,265,176
2018abca_qm14,6041,7205,6178,2122,6679,2130,36,477
2018abca_qm15,3011,4334,4775,7277,4733,4627,431,79
2018abca_qm16,6979,5078,1622,6841,5118,6188,431,101
2018abca_qm17,5787,7246,3250,1482,5630,6700,394,211
2018abca_qm18,6351,6841,5078,5725,4604,6041,320,203
2018abca_qm19,2122,1482,5015,5630,6679,4733,434,140
2018abca_qm2,5630,4334,6701,3216,6106,3011,257,298
2018abca_qm20,6106,6364,1622,3011,6351,6178,310,188
2018abca_qm21,5118,4775,4604,7246,4334,6435,347,251
2018abca_qm22,7205,5787,4627,6701,3250,6188,40,469
2018abca_qm23,2130,6700,6979,7277,4010,5725,393,155
2018abca_qm24,3216,4627,1482,359,5078,6188,231,465
2018abca_qm25,1622,4010,4604,4775,5630,6435,254,247
2018abca_qm26,359,6700,3011,2122,6041,4334,262,383
2018abca_qm27,5725,6351,4733,2130,7246,6178,298,267
2018abca_qm28,6679,5118,6701,6364,7277,3250,194,435
2018abca_qm29,6841,3216,7205,6106,5015,6979,238,198
2018abca_qm3,5118,6700,6364,4604,5787,2130,168,216
2018abca_qm30,5787,5078,6435,2122,6700,6351,275,408
2018abca_qm31,5015,7277,4334,4604,7205,6701,425,80
2018abca_qm32,1622,5787,5118,4775,6979,3216,393,97
2018abca_qm33,6364,4010,6679,4627,6188,7246,325,170
2018abca_qm34,4733,6178,359,5630,3250,6841,263,309
2018abca_qm35,5725,6106,1482,2130,3011,6041,90,450
2018abca_qm36,7246,4733,4010,6700,6188,7205,139,195
2018abca_qm37,6041,1622,6679,6106,5630,5787,396,199
2018abca_qm38,5118,6435,3250,3011,6841,7277,357,142
2018abca_qm39,5015,6178,4775,5078,4604,6364,324,174
2018abca_qm4,6178,4010,4627,6979,1482,6841,89,231
2018abca_qm40,4627,2130,6351,6701,3216,2122,209,333
2018abca_qm41,4334,6979,5725,1482,359,6679,93,445
2018abca_qm42,7246,6841,6106,5787,2122,7277,165,365
2018abca_qm43,5630,2130,5725,1622,4775,4627,208,410
2018abca_qm44,1482,3011,5118,4010,7205,6351,268,193
2018abca_qm45,6178,6188,3216,4334,4604,6700,284,147
2018abca_qm46,6979,6435,359,6041,6364,5015,328,186
2018abca_qm47,3250,4733,2130,5078,6701,6106,439,241
2018abca_qm48,5015,5725,6700,4627,5118,5630,377,275
